Quantidade;Comprimento;Largura;Funcao;Fita C1;Fita C2;Fita L1;Fita L2;Material;Complemento;Girar
1;764;400;Base;Fita PVC 0.4mm Branco;;;;MDF 18mm Branco;Base;Sim
1;764;400;Tampo;Fita PVC 0.4mm Branco;;;;MDF 18mm Branco;Tampo;Sim
1;1979.0;779.0;Fundo;;;;;MDF 6mm Cru;Fundo;Sim
1;800;100;Rodape;Fita PVC 1mm Branco;;;;MDF 18mm Branco;Rodape Frente;Sim
1;800;100;Travessa;;;;;MDF 18mm Branco;Rodape Traseira;Sim
1;289.0;100;Travessa;;;;;MDF 18mm Branco;Rodape Lateral E;Sim
1;289.0;100;Travessa;;;;;MDF 18mm Branco;Rodape Lateral D;Sim
1;289.0;100;Travessa;;;;;MDF 18mm Branco;Rodape Reforco 1;Sim
1;764.0;353;Prateleira;Fita PVC 0.4mm Branco;;;;MDF 18mm Branco;Prateleira 1;Sim
1;764.0;353;Prateleira;Fita PVC 0.4mm Branco;;;;MDF 18mm Branco;Prateleira 2;Sim
1;764.0;353;Prateleira;Fita PVC 0.4mm Branco;;;;MDF 18mm Branco;Prateleira 3;Sim
1;2000;400;Lateral;Fita PVC 0.4mm Branco;;;;MDF 18mm Branco;Lateral Esquerda;Sim
1;2000;400;Lateral;Fita PVC 0.4mm Branco;;;;MDF 18mm Branco;Lateral Direita;Sim
